Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_234	DheML6d1	[DelC]234	609	583	56781135	57895552	0.276314769689536	0.789703279157356		0.28387175678872	1	
C_234	MSH3_KO5_d3	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	DheMS6d3	[InsC]234	18	20	56781135	57895552	0.791356024565351	1		0.871645205989216	1	
C_234	RPE1_c2_OGG1_11_1	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	POLE_L424V_d2	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	MLH1_2	[InsC]234	2	2	56781135	57895552	0.984492713474924	1		1	1	
C_234	DheML6d1	[InsC]234	18	12	56781135	57895552	0.250668771598389	0.789703279157356		0.277010093103355	1	
C_234	MSH3_KO5_d4	[DelC]234	1	0	56781135	57895552	0.312607612192109	0.789703279157356		0.495141048153929	1	
C_234	E_MSHd1	[DelC]234	201	336	56781135	57895552	2.13427642807961e-08	1.02445268547821e-06	***	2.22656686877232e-08	1.06875209701072e-06	***
C_234	RPE1_c2_OGG1_11_2	[DelC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	POLE_L424V_d3	[DelC]234	2	1	56781135	57895552	0.55237151090475	1		0.621391544386013	1	
C_234	MLH1_5	[DelC]234	35	24	56781135	57895552	0.131863517702601	0.758592773655001		0.152124040971969	0.890482191055428	
C_234	DheML6d3	[DelC]234	397	480	56781135	57895552	0.0119018268242889	0.170451763667325		0.0124265448007308	0.180749742556085	
C_234	MSH3_KO5_d4	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	E_MSHd1	[InsC]234	23	22	56781135	57895552	0.83033573451833	1		0.882104087772382	1	
C_234	RPE1_c2_OGG1_11_2	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	POLE_L424V_d3	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	MLH1_5	[InsC]234	4	5	56781135	57895552	0.76098010614646	1		1	1	
C_234	DheML6d3	[InsC]234	24	21	56781135	57895552	0.608351868244362	1		0.656285207242804	1	
C_234	POD478_1	[DelC]234	3	1	56781135	57895552	0.307973270301206	0.789703279157356		0.370212334146252	1	
C_234	E_MSHd2	[DelC]234	167	258	56781135	57895552	2.50878788846704e-05	0.000752636366540111	***	2.84667381972071e-05	0.000831427279879061	***
C_234	RPE1_c2_OGG1_1110	[DelC]234	0	1	56781135	57895552	0.3220134049725	0.789703279157356		1	1	
C_234	POLE_P8_1	[DelC]234	2	9	56781135	57895552	0.0376682153680283	0.402738845075642		0.0655666491609493	0.605230607639532	
C_234	MSH3_KO5_d1	[DelC]234	1	2	56781135	57895552	0.575107866939931	1		1	1	
C_234	DheMS6d2	[DelC]234	903	940	56781135	57895552	0.656540681414748	1		0.658140077517491	1	
C_234	POD478_1	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	E_MSHd2	[InsC]234	35	18	56781135	57895552	0.0161286795046257	0.215049060061676		0.0189464435946181	0.245791700686938	
C_234	RPE1_c2_OGG1_1110	[InsC]234	1	0	56781135	57895552	0.312607612192109	0.789703279157356		0.495141048153929	1	
C_234	POLE_P8_1	[InsC]234	0	3	56781135	57895552	0.0862902567207691	0.583370749661538		0.250070828239127	1	
