Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_2	DheML6d1	[DelC]234	609	583	40674023	41383442	1.062817267877	0.948719284257122	1.19063727663344	
C_2	MSH3_KO5_d3	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	DheMS6d3	[InsC]234	18	20	40674023	41383442	0.91569737969005	0.484398022277636	1.731017990595	
C_2	RPE1_c2_OGG1_11_1	[InsC]234	0	1	40674023	41383442	1	1	1	
C_2	POLE_L424V_d2	[InsC]234	0	1	40674023	41383442	1	1	1	
C_2	MLH1_2	[InsC]234	2	2	40674023	41383442	1.01744157529938	0.143320368485377	7.22289071740212	
C_2	DheML6d1	[InsC]234	18	12	40674023	41383442	1.52616259451215	0.7351511887066	3.16829014312813	
C_2	MSH3_KO5_d4	[DelC]234	1	0	40674023	41383442	1	1	1	
C_2	E_MSHd1	[DelC]234	201	336	40674023	41383442	0.608646150746015	0.51104939865077	0.72488126939582	*
C_2	RPE1_c2_OGG1_11_2	[DelC]234	0	1	40674023	41383442	1	1	1	
C_2	POLE_L424V_d3	[DelC]234	2	1	40674023	41383442	2.03488319977019	0.184516303116931	22.4411044810654	
C_2	MLH1_5	[DelC]234	35	24	40674023	41383442	1.48376937901114	0.882626345248179	2.49434155454772	
C_2	DheML6d3	[DelC]234	397	480	40674023	41383442	0.841507421889719	0.73673683959301	0.96117732009529	*
C_2	MSH3_KO5_d4	[InsC]234	0	0	40674023	41383442	1	1	1	
C_2	E_MSHd1	[InsC]234	23	22	40674023	41383442	1.06368895474885	0.592887954230749	1.90834403765664	
C_2	RPE1_c2_OGG1_11_2	[InsC]234	0	1	40674023	41383442	1	1	1	
C_2	POLE_L424V_d3	[InsC]234	0	1	40674023	41383442	1	1	1	
C_2	MLH1_5	[InsC]234	4	5	40674023	41383442	0.813953241257029	0.218572777984443	3.03111798762048	
C_2	DheML6d3	[InsC]234	24	21	40674023	41383442	1.16279046684626	0.647375536467481	2.08855848518221	
C_2	POD478_1	[DelC]234	3	1	40674023	41383442	3.05232487469889	0.317503017970712	29.3436175827626	
C_2	E_MSHd2	[DelC]234	167	258	40674023	41383442	0.658575121164092	0.542082997729217	0.800101076833538	*
C_2	RPE1_c2_OGG1_1110	[DelC]234	0	1	40674023	41383442	1	1	1	
