Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_2	DheML6d1	[DelC]2	119	112	40674023	41383442	1.08103190991944	0.835174052642305	1.39926520294397	
C_2	EXO1_KO22_d3	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	POLE_L424V_d1	[DelC]2	4	2	40674023	41383442	2.03488325065689	0.372715378956181	11.1096833605322	
C_2	SETD2_KO19_d3	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	MLH1_5	[InsC]2	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	POLE_L424V_d1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_OGG1_11_1	[InsC]2	0	1	40674023	41383442	1	1	1	
C_2	E_MSHd1	[DelC]2	99	162	40674023	41383442	0.621768930438632	0.484219109757746	0.798391874811001	*
C_2	POLE_P8_2	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_OGG1_11_2	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	POLE_L424V_d2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POD478_1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POLE_L424V_d3	[DelC]2	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	POD478_2	[DelC]2	3	5	40674023	41383442	0.610464915934053	0.145891828110467	2.55440910168178	
C_2	RPE1_c2_MSH2_7_3	[DelC]2	4	7	40674023	41383442	0.581395144228485	0.170197260400918	1.98605026271409	
C_2	DheML6d1	[InsC]2	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	EXO1_KO22_d3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_7_3	[InsC]2	2	0	40674023	41383442	1	1	1	
C_2	SETD2_KO19_d3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	MSH3_KO5_d1	[DelC]2	0	2	40674023	41383442	1	1	1	
C_2	POLE_L424V_d2	[DelC]2	1	4	40674023	41383442	0.254360375278353	0.0284300210935339	2.27573522717012	
C_2	SETD2_KO19_d4	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	E_MSHd1	[InsC]2	7	7	40674023	41383442	1.01744157744345	0.3568807139397	2.90065370045612	
C_2	POLE_P8_2	[InsC]2	0	1	40674023	41383442	1	1	1	
C_2	RPE1_c2_OGG1_11_2	[InsC]2	0	1	40674023	41383442	1	1	1	
C_2	E_MSHd2	[DelC]2	93	135	40674023	41383442	0.700903511850902	0.538208650473177	0.912779332872152	*
C_2	POLE_P8_5	[DelC]2	0	1	40674023	41383442	1	1	1	
C_2	RPE1_WT_U1	[DelC]2	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	POLE_L424V_d3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POD478_2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_U1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	DheML6d3	[DelC]2	63	90	40674023	41383442	0.712208656349173	0.516156683057057	0.982727119165525	*
C_2	MLH_A	[DelC]2	4	3	40674023	41383442	1.3565888009903	0.303621333338434	6.06127756155052	
C_2	RPE1_c2_MSH2_9_2	[DelC]2	2	7	40674023	41383442	0.290697557820226	0.0603895526783336	1.39933260596848	
C_2	DheML6d3	[InsC]2	5	1	40674023	41383442	5.08720837464349	0.594339966667203	43.543578588808	
C_2	MSH3_KO5_d1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	SETD2_KO19_d4	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	MSH3_KO5_d3	[DelC]2	0	2	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_3	[DelC]2	6	3	40674023	41383442	2.03488330154359	0.508919503989806	8.13635558951553	
C_2	RPE1_c2_OGG1_1110	[DelC]2	0	0	40674023	41383442	1	1	1	
C_2	E_MSHd2	[InsC]2	8	7	40674023	41383442	1.16279040280912	0.421660332382262	3.206565609874	
C_2	POLE_P8_5	[InsC]2	0	1	40674023	41383442	1	1	1	
C_2	RPE1_c2_OGG1_1110	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POLE_P8_1	[DelC]2	1	6	40674023	41383442	0.169573575323663	0.0204152832806148	1.40851327178763	
C_2	POD689_1	[DelC]2	2	2	40674023	41383442	1.01744157529938	0.143320368485377	7.22289071740212	
C_2	RPE1_WT_U2	[DelC]2	2	3	40674023	41383442	0.678294367142441	0.113339435199855	4.05933952014039	
C_2	POLE_P8_1	[InsC]2	0	2	40674023	41383442	1	1	1	
C_2	MLH_A	[InsC]2	1	1	40674023	41383442	1.01744157487056	0.0636397842253302	16.2663555647799	
C_2	RPE1_WT_U2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	DheMS6d2	[DelC]2	171	170	40674023	41383442	1.02342662336886	0.827686414277022	1.26545758798649	
C_2	MLH1_2	[DelC]2	3	5	40674023	41383442	0.610464915934053	0.145891828110467	2.55440910168178	
C_2	SETD2_KO15_d3	[DelC]2	0	1	40674023	41383442	1	1	1	
C_2	POD689_2	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	MSH3_KO5_d3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_9_3	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	DheMS6d3	[DelC]2	178	211	40674023	41383442	0.858315020948296	0.703103031751379	1.04779049714861	
C_2	EXO1_KO22_d1	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_c2_MSH2_7_1	[DelC]2	7	6	40674023	41383442	1.18701520236736	0.39892515517423	3.53200361615664	
C_2	RPE1_WT_1	[DelC]2	0	1	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	POD689_1	[InsC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_1	[InsC]2	0	0	40674023	41383442	1	1	1	
C_2	EXO1_KO22_d2	[DelC]2	2	2	40674023	41383442	1.01744157529938	0.143320368485377	7.22289071740212	
C_2	POD689_2	[DelC]2	1	0	40674023	41383442	1	1	1	
C_2	RPE1_WT_2	[DelC]2	0	0	40674023	41383442	1	1	1	
