Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_2	DheML6d1	[DelC]2	119	112	40674023	41383442	0.553859359532606	1		0.554672138881084	1	
C_2	EXO1_KO22_d3	[DelC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POLE_L424V_d1	[DelC]2	4	2	40674023	41383442	0.402196579768766	0.958680860528903		0.449160663300772	1	
C_2	SETD2_KO19_d3	[DelC]2	1	0	40674023	41383442	0.313126644497563	0.885281086066907		0.495677303704179	1	
C_2	MLH1_5	[InsC]2	1	1	40674023	41383442	0.990244597586735	1		1	1	
C_2	POLE_L424V_d1	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_c2_OGG1_11_1	[InsC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	E_MSHd1	[DelC]2	99	162	40674023	41383442	0.000169864439488762	0.0108713241272808	*	0.000192130411694463	0.0122963463484456	*
C_2	POLE_P8_2	[DelC]2	1	0	40674023	41383442	0.313126644497563	0.885281086066907		0.495677303704179	1	
C_2	RPE1_c2_OGG1_11_2	[DelC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POLE_L424V_d2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POD478_1	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_WT_2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POLE_L424V_d3	[DelC]2	1	1	40674023	41383442	0.990244597586735	1		1	1	
C_2	POD478_2	[DelC]2	3	5	40674023	41383442	0.494809429606584	1		0.726644240786913	1	
C_2	RPE1_c2_MSH2_7_3	[DelC]2	4	7	40674023	41383442	0.381088072493561	0.931174562237449		0.548996709072784	1	
C_2	DheML6d1	[InsC]2	1	1	40674023	41383442	0.990244597586735	1		1	1	
C_2	EXO1_KO22_d3	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_c2_MSH2_7_3	[InsC]2	2	0	40674023	41383442	0.153725998106433	0.885281086066907		0.245695989407444	1	
C_2	SETD2_KO19_d3	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	MSH3_KO5_d1	[DelC]2	0	2	40674023	41383442	0.160903443262454	0.885281086066907		0.500037371406532	1	
C_2	POLE_L424V_d2	[DelC]2	1	4	40674023	41383442	0.186048794403906	0.885281086066907		0.375093425024774	1	
C_2	SETD2_KO19_d4	[DelC]2	0	0	40674023	41383442	1	1		1	1	
C_2	E_MSHd1	[InsC]2	7	7	40674023	41383442	0.97419348924667	1		1	1	
C_2	POLE_P8_2	[InsC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	RPE1_c2_OGG1_11_2	[InsC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	E_MSHd2	[DelC]2	93	135	40674023	41383442	0.0080236150246751	0.218515473012428		0.0080573592662602	0.224204779582892	
C_2	POLE_P8_5	[DelC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	RPE1_WT_U1	[DelC]2	1	1	40674023	41383442	0.990244597586735	1		1	1	
C_2	POLE_L424V_d3	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POD478_2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_WT_U1	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	DheML6d3	[DelC]2	63	90	40674023	41383442	0.0378975944327498	0.593989767024496		0.0429755704838331	0.702372384959139	
C_2	MLH_A	[DelC]2	4	3	40674023	41383442	0.688528345952684	1		0.724260363375215	1	
C_2	RPE1_c2_MSH2_9_2	[DelC]2	2	7	40674023	41383442	0.100840639206795	0.885281086066907		0.179834644413746	1	
C_2	DheML6d3	[InsC]2	5	1	40674023	41383442	0.0980804271246299	0.885281086066907		0.121828049183466	1	
C_2	MSH3_KO5_d1	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_c2_MSH2_9_2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	SETD2_KO19_d4	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	MSH3_KO5_d3	[DelC]2	0	2	40674023	41383442	0.160903443262454	0.885281086066907		0.500037371406532	1	
C_2	RPE1_c2_MSH2_9_3	[DelC]2	6	3	40674023	41383442	0.304903594237057	0.885281086066907		0.339642832813866	1	
C_2	RPE1_c2_OGG1_1110	[DelC]2	0	0	40674023	41383442	1	1		1	1	
C_2	E_MSHd2	[InsC]2	8	7	40674023	41383442	0.770521168733829	1		0.802025208573815	1	
C_2	POLE_P8_5	[InsC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	RPE1_c2_OGG1_1110	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	POLE_P8_1	[DelC]2	1	6	40674023	41383442	0.0618989931566789	0.726887259087606		0.125098099941963	1	
C_2	POD689_1	[DelC]2	2	2	40674023	41383442	0.98620412133471	1		1	1	
C_2	RPE1_WT_U2	[DelC]2	2	3	40674023	41383442	0.668725455048665	1		1	1	
C_2	POLE_P8_1	[InsC]2	0	2	40674023	41383442	0.160903443262454	0.885281086066907		0.500037371406532	1	
C_2	MLH_A	[InsC]2	1	1	40674023	41383442	0.990244597586735	1		1	1	
C_2	RPE1_WT_U2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	DheMS6d2	[DelC]2	171	170	40674023	41383442	0.830696436524289	1		0.870970457556784	1	
C_2	MLH1_2	[DelC]2	3	5	40674023	41383442	0.494809429606584	1		0.726644240786913	1	
C_2	SETD2_KO15_d3	[DelC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	POD689_2	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	MSH3_KO5_d3	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	RPE1_c2_MSH2_9_3	[InsC]2	0	0	40674023	41383442	1	1		1	1	
C_2	DheMS6d3	[DelC]2	178	211	40674023	41383442	0.132914157088409	0.885281086066907		0.141419202021999	1	
C_2	EXO1_KO22_d1	[DelC]2	1	0	40674023	41383442	0.313126644497563	0.885281086066907		0.495677303704179	1	
C_2	RPE1_c2_MSH2_7_1	[DelC]2	7	6	40674023	41383442	0.757676767213515	1		0.78881110429325	1	
C_2	RPE1_WT_1	[DelC]2	0	1	40674023	41383442	0.321494372129497	0.885281086066907		1	1	
C_2	EXO1_KO22_d1	[InsC]2	0	0	40674023	41383442	1	1		1	1	
