Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_234	MLH1	[DelC]234	89	73	56781135	57895552	0.167330423323708	0.542669695199373		0.181709103487555	0.65382236750526	
C_234	POLD1S478N	[InsC]234	1	0	56781135	57895552	0.312607612192109	0.687358430420211		0.495141048153929	0.861639325667215	
C_234	POLD1R689W	[InsC]234	1	0	56781135	57895552	0.312607612192109	0.687358430420211		0.495141048153929	0.861639325667215	
C_234	POLEMSH2	[DelC]234	368	594	56781135	57895552	2.83943191933042e-12	6.814636606393e-11	***	2.68119298447967e-12	6.43486316275121e-11	***
C_234	POLEL424V	[DelC]234	11	11	56781135	57895552	0.963642490744388	1		1	1	
C_234	MSH2	[InsC]234	23	19	56781135	57895552	0.496362173411718	0.803102842374016		0.539227974805223	0.888387957407788	
C_234	MLH1	[InsC]234	11	12	56781135	57895552	0.871371506084401	1		1	1	
C_234	POLDMLH1	[DelC]234	1006	1063	56781135	57895552	0.417289402981984	0.751120925367571		0.428669348894935	0.861639325667215	
C_234	POLD1S478N	[DelC]234	9	7	56781135	57895552	0.589957884960448	0.875813767363964		0.625915560395797	0.979693920619509	
C_234	POLEMSH2	[InsC]234	58	40	56781135	57895552	0.0555477055902047	0.28567391446391		0.068465195793647	0.333338073668694	
C_234	POLEL424V	[InsC]234	0	2	56781135	57895552	0.161352719900413	0.542669695199373		0.500047218826085	0.861639325667215	
C_234	MSH3	[DelC]234	5	5	56781135	57895552	0.975483142564313	1		1	1	
C_234	MSH2	[DelC]234	162	147	56781135	57895552	0.305743790960303	0.687358430420211		0.306581680235741	0.832976640640505	
C_234	POLDMLH1	[InsC]234	42	33	56781135	57895552	0.261249375628801	0.687358430420211		0.298866144258575	0.832976640640505	
C_234	SETD2	[DelC]234	1	3	56781135	57895552	0.326784855903934	0.687358430420211		0.625070824894701	0.979693920619509	
C_234	POLEP286R	[DelC]234	6	10	56781135	57895552	0.336464801714237	0.687358430420211		0.454844385251003	0.861639325667215	
C_234	SETD2	[InsC]234	0	0	56781135	57895552	1	1		1	1	
C_234	MSH3	[InsC]234	0	1	56781135	57895552	0.3220134049725	0.687358430420211		1	1	
C_234	WT	[DelC]234	8	17	56781135	57895552	0.0798609938360062	0.338234797423085		0.108166115704215	0.465015098152294	
C_234	POLDMSH2	[DelC]234	1930	1965	56781135	57895552	0.963559127573981	1		0.974434626501682	1	
C_234	WT	[InsC]234	1	2	56781135	57895552	0.575107866939931	0.87259784145541		1	1	
C_234	POLEP286R	[InsC]234	1	5	56781135	57895552	0.107558355028863	0.418605489842062		0.218882798767699	0.693396595001555	
C_234	POLD1R689W	[DelC]234	5	3	56781135	57895552	0.462566170355629	0.801274950528034		0.503706714573022	0.861639325667215	
C_234	POLDMSH2	[InsC]234	47	46	56781135	57895552	0.843498440888241	1		0.917484705641605	1	
C_567	POLEL424V	[DelC]567	5	3	1286457	1339204	0.444818763898995	0.790788913598214		0.499651881509539	0.861639325667215	
C_567	POLD1R689W	[InsC]567	0	2	1286457	1339204	0.165721532349738	0.542669695199373		0.500201784696307	0.861639325667215	
C_567	POLD1S478N	[DelC]567	3	2	1286457	1339204	0.622554368099112	0.879396719418404		0.681479422080744	1	
C_567	MLH1	[DelC]567	147	132	1286457	1339204	0.217266791094782	0.613459174855855		0.231132198333852	0.693396595001555	
C_567	POLEL424V	[InsC]567	8	9	1286457	1339204	0.873086960467275	1		1	1	
C_567	POLEP286R	[DelC]567	3	4	1286457	1339204	0.745272317821671	0.949727555454165		1	1	
C_567	POLEMSH2	[DelC]567	85	138	1286457	1339204	0.00115484147664447	0.00978218662569435	**	0.0012596638035298	0.0106700933946054	*
C_567	MSH3	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.687358430420211		0.489955481686326	0.861639325667215	
C_567	POLD1S478N	[InsC]567	7	6	1286457	1339204	0.726449207425507	0.949727555454165		0.786836128227228	1	
C_567	MLH1	[InsC]567	97	88	1286457	1339204	0.349725269457722	0.687358430420211		0.377682942868301	0.861639325667215	
C_567	POLDMLH1	[DelC]567	525	569	1286457	1339204	0.505437337360816	0.808699739777305		0.506084491081064	0.861639325667215	
C_567	POLEP286R	[InsC]567	5	13	1286457	1339204	0.0717421478837018	0.33325384823397		0.0974527664479361	0.438537449015713	
C_567	POLEMSH2	[InsC]567	63	74	1286457	1339204	0.480935013308089	0.803102842374016		0.495283723774748	0.861639325667215	
C_567	POLD1R689W	[DelC]567	3	1	1286457	1339204	0.298159661170459	0.687358430420211		0.36526219203241	0.861639325667215	
C_567	MSH3	[DelC]567	3	6	1286457	1339204	0.347257278627166	0.687358430420211		0.508606546400786	0.861639325667215	
C_567	MSH2	[DelC]567	316	293	1286457	1339204	0.153277189032238	0.538339395625421		0.156166515793	0.576614827543384	
C_567	POLDMLH1	[InsC]567	445	309	1286457	1339204	3.67986154420167e-08	5.88777847072267e-07	***	4.21831214775721e-08	6.74929943641154e-07	***
C_567	SETD2	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	POLDMSH2	[DelC]567	1045	1132	1286457	1339204	0.353674812405316	0.687358430420211		0.356708369249232	0.861639325667215	
C_567	SETD2	[InsC]567	3	0	1286457	1339204	0.0771942926976183	0.338234797423085		0.117616936371936	0.465881055170395	
C_567	POLDMSH2	[InsC]567	575	468	1286457	1339204	7.40946472850403e-05	0.000711308613936386	***	8.22423794077754e-05	0.000789526842314644	***
C_567	MSH2	[InsC]567	219	170	1286457	1339204	0.00396166940315995	0.0316933552252796	*	0.00445454319854551	0.0356363455883641	*
C_567	WT	[InsC]567	3	1	1286457	1339204	0.298159661170459	0.687358430420211		0.36526219203241	0.861639325667215	
C_567	WT	[DelC]567	4	0	1286457	1339204	0.0412916094554546	0.237839670463419		0.057627062714582	0.325937192557862	
C_89	MLH1	[DelC]89	16	9	8884	8612	0.186025748046332	0.558077244138996		0.230934659110643	0.693396595001555	
C_89	POLD1R689W	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLD1S478N	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLD1S478N	[InsC]89	1	0	8884	8612	0.324834065008449	0.687358430420211		1	1	
C_89	MLH1	[InsC]89	32	18	8884	8612	0.061456704670172	0.294992182416826		0.0665216107369697	0.333338073668694	
C_89	POLDMLH1	[DelC]89	20	14	8884	8612	0.348010861891203	0.687358430420211		0.393483735422073	0.861639325667215	
C_89	MSH2	[DelC]89	56	45	8884	8612	0.348031269541149	0.687358430420211		0.37132626769443	0.861639325667215	
C_89	POLEMSH2	[InsC]89	4	6	8884	8612	0.495428677391262	0.803102842374016		0.542903751749204	0.888387957407788	
C_89	SETD2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLEP286R	[DelC]89	0	1	8884	8612	0.309786960142265	0.687358430420211		0.492226794695931	0.861639325667215	
C_89	SETD2	[InsC]89	0	1	8884	8612	0.309786960142265	0.687358430420211		0.492226794695931	0.861639325667215	
C_89	POLDMLH1	[InsC]89	20	21	8884	8612	0.798143676889056	0.982330679248069		0.876311080527431	1	
C_89	MSH2	[InsC]89	27	38	8884	8612	0.136250187467564	0.490500674883231		0.138925030810365	0.526452748334014	
C_89	POLDMSH2	[DelC]89	28	21	8884	8612	0.372777452389911	0.706315172949305		0.394413470852323	0.861639325667215	
C_89	MSH3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLEP286R	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	WT	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLD1R689W	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	WT	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLDMSH2	[InsC]89	26	22	8884	8612	0.638570553074764	0.884405211104705		0.667295181978699	1	
C_89	MSH3	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLEL424V	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLEL424V	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLEMSH2	[DelC]89	3	2	8884	8612	0.679972528990542	0.9279639576069		1	1	
T_234	POLD1R689W	[InsT]234	25	14	137779025	133549777	0.096058477215389	0.384233908861556		0.10979523150818	0.465015098152294	
T_234	POLD1S478N	[DelT]234	14	11	137779025	133549777	0.601581501409997	0.879396719418404		0.690940459108358	1	
T_234	POLD1S478N	[InsT]234	101	75	137779025	133549777	0.0795591781009821	0.338234797423085		0.0831271596289677	0.386139064082947	
T_234	POLEP286R	[DelT]234	33	27	137779025	133549777	0.513151480437966	0.812019925088649		0.522008753555368	0.874061168743871	
T_234	POLDMLH1	[DelT]234	1255	926	137779025	133549777	2.65624642886965e-10	5.46427836796042e-09	***	2.51532721752821e-10	5.17438741891517e-09	***
T_234	MLH1	[DelT]234	190	190	137779025	133549777	0.761214144110965	0.961533655719114		0.797586581674707	1	
T_234	POLEMSH2	[InsT]234	459	575	137779025	133549777	3.97123916839678e-05	0.000408470314463669	***	3.97446297574363e-05	0.000408801906076488	***
T_234	MLH1	[InsT]234	77	74	137779025	133549777	0.958046964431304	1		1	1	
T_234	MSH3	[DelT]234	14	14	137779025	133549777	0.934257412647462	1		1	1	
T_234	POLEP286R	[InsT]234	52	72	137779025	133549777	0.0488539929472388	0.270575960938553		0.0588497708785028	0.325937192557862	
T_234	POLDMLH1	[InsT]234	959	878	137779025	133549777	0.221729494864351	0.614020139624357		0.225021566697118	0.693396595001555	
T_234	SETD2	[DelT]234	5	6	137779025	133549777	0.723900237365329	0.949727555454165		0.771175994233696	1	
T_234	POLDMSH2	[DelT]234	2496	1950	137779025	133549777	8.67088240214306e-13	2.4972141318172e-11	***	8.91268510739587e-13	2.56685331093001e-11	***
T_234	MSH2	[DelT]234	282	246	137779025	133549777	0.226785862667807	0.616172909889891		0.239925043792224	0.70508584298123	
T_234	MSH3	[InsT]234	2	2	137779025	133549777	0.975127483919163	1		1	1	
T_234	MSH2	[InsT]234	142	131	137779025	133549777	0.68308457990508	0.9279639576069		0.716578394742867	1	
T_234	POLD1R689W	[DelT]234	4	3	137779025	133549777	0.736293598094603	0.949727555454165		1	1	
T_234	SETD2	[InsT]234	3	0	137779025	133549777	0.0881459058455552	0.362657441193141		0.250182219887439	0.720524793275825	
T_234	POLDMSH2	[InsT]234	1237	1276	137779025	133549777	0.118865901716319	0.438889483260256		0.119705548897949	0.465881055170395	
T_234	WT	[DelT]234	31	13	137779025	133549777	0.00904031889700697	0.0650902960584502		0.0099389703594009	0.0715605865876865	
T_234	POLEL424V	[DelT]234	36	36	137779025	133549777	0.894764733586644	1		0.906758861119443	1	
T_234	POLEL424V	[InsT]234	36	46	137779025	133549777	0.212905989707062	0.613169250356338		0.225627329149065	0.693396595001555	
T_234	POLEMSH2	[DelT]234	1145	1586	137779025	133549777	2.15363756473513e-20	1.03374603107286e-18	***	1.92589161232883e-20	9.2442797391784e-19	***
T_234	WT	[InsT]234	13	10	137779025	133549777	0.581731894303607	0.87259784145541		0.678499965872652	1	
T_567	MLH1	[InsT]567	411	368	7409247	6989196	0.46741038780802	0.801274950528034		0.473631217997241	0.861639325667215	
T_567	MLH1	[DelT]567	1164	1066	7409247	6989196	0.48523200098515	0.803102842374016		0.497827739662485	0.861639325667215	
T_567	SETD2	[DelT]567	5	3	7409247	6989196	0.53206425268422	0.832796221592692		0.72749218661298	1	
T_567	POLDMLH1	[DelT]567	1498	1285	7409247	6989196	0.0124317684677376	0.085246412350201		0.0129679311856107	0.0889229567013308	
T_567	MSH2	[DelT]567	1623	1618	7409247	6989196	0.115562494803116	0.437921032938122		0.117816191845893	0.465881055170395	
