IndelType	Indel
A[Del(C):R1]A	Del(C)
A[Del(C):R1]G	Del(C)
A[Del(C):R1]T	Del(C)
A[Del(C):R2]A	Del(C)
A[Del(C):R2]G	Del(C)
A[Del(C):R2]T	Del(C)
A[Del(C):R3]A	Del(C)
A[Del(C):R3]G	Del(C)
A[Del(C):R3]T	Del(C)
A[Del(C):R4]A	Del(C)
A[Del(C):R4]G	Del(C)
A[Del(C):R4]T	Del(C)
A[Del(C):R5]A	Del(C)
A[Del(C):R5]G	Del(C)
A[Del(C):R5]T	Del(C)
A[Del(C):R6]A	Del(C)
A[Del(C):R6]G	Del(C)
A[Del(C):R6]T	Del(C)
A[Del(C):R7]A	Del(C)
A[Del(C):R7]G	Del(C)
A[Del(C):R7]T	Del(C)
A[Del(C):R8]A	Del(C)
A[Del(C):R8]G	Del(C)
A[Del(C):R8]T	Del(C)
A[Del(C):R9]A	Del(C)
A[Del(C):R9]G	Del(C)
A[Del(C):R9]T	Del(C)
G[Del(C):R1]A	Del(C)
G[Del(C):R1]G	Del(C)
G[Del(C):R1]T	Del(C)
G[Del(C):R2]A	Del(C)
G[Del(C):R2]G	Del(C)
G[Del(C):R2]T	Del(C)
G[Del(C):R3]A	Del(C)
G[Del(C):R3]G	Del(C)
G[Del(C):R3]T	Del(C)
G[Del(C):R4]A	Del(C)
G[Del(C):R4]G	Del(C)
G[Del(C):R4]T	Del(C)
G[Del(C):R5]A	Del(C)
G[Del(C):R5]G	Del(C)
G[Del(C):R5]T	Del(C)
G[Del(C):R6]A	Del(C)
G[Del(C):R6]G	Del(C)
G[Del(C):R6]T	Del(C)
G[Del(C):R7]A	Del(C)
G[Del(C):R7]G	Del(C)
G[Del(C):R7]T	Del(C)
G[Del(C):R8]A	Del(C)
G[Del(C):R8]G	Del(C)
G[Del(C):R8]T	Del(C)
G[Del(C):R9]A	Del(C)
G[Del(C):R9]G	Del(C)
G[Del(C):R9]T	Del(C)
T[Del(C):R1]A	Del(C)
T[Del(C):R1]G	Del(C)
T[Del(C):R1]T	Del(C)
T[Del(C):R2]A	Del(C)
T[Del(C):R2]G	Del(C)
T[Del(C):R2]T	Del(C)
T[Del(C):R3]A	Del(C)
T[Del(C):R3]G	Del(C)
T[Del(C):R3]T	Del(C)
T[Del(C):R4]A	Del(C)
T[Del(C):R4]G	Del(C)
T[Del(C):R4]T	Del(C)
T[Del(C):R5]A	Del(C)
T[Del(C):R5]G	Del(C)
T[Del(C):R5]T	Del(C)
T[Del(C):R6]A	Del(C)
T[Del(C):R6]G	Del(C)
T[Del(C):R6]T	Del(C)
T[Del(C):R7]A	Del(C)
T[Del(C):R7]G	Del(C)
T[Del(C):R7]T	Del(C)
T[Del(C):R8]A	Del(C)
T[Del(C):R8]G	Del(C)
T[Del(C):R8]T	Del(C)
T[Del(C):R9]A	Del(C)
T[Del(C):R9]G	Del(C)
T[Del(C):R9]T	Del(C)
A[Del(T):R1]A	Del(T)
A[Del(T):R1]C	Del(T)
