IndelType	Indel	Indel3	Figlabel
A[Ins(C):R0]A	Ins(C)	Insertion	A[Ins(C):R0]A
A[Ins(C):R0]G	Ins(C)	Insertion	A[Ins(C):R0]G
A[Ins(C):R0]T	Ins(C)	Insertion	A[Ins(C):R0]T
A[Ins(C):R1]A	Ins(C)	Insertion	A[Ins(C):R1]A
A[Ins(C):R1]G	Ins(C)	Insertion	A[Ins(C):R1]G
A[Ins(C):R1]T	Ins(C)	Insertion	A[Ins(C):R1]T
A[Ins(C):R2]A	Ins(C)	Insertion	A[Ins(C):R2]A
A[Ins(C):R2]G	Ins(C)	Insertion	A[Ins(C):R2]G
A[Ins(C):R2]T	Ins(C)	Insertion	A[Ins(C):R2]T
A[Ins(C):R3]A	Ins(C)	Insertion	A[Ins(C):R3]A
A[Ins(C):R3]G	Ins(C)	Insertion	A[Ins(C):R3]G
A[Ins(C):R3]T	Ins(C)	Insertion	A[Ins(C):R3]T
A[Ins(C):R4]A	Ins(C)	Insertion	A[Ins(C):R4]A
A[Ins(C):R4]G	Ins(C)	Insertion	A[Ins(C):R4]G
A[Ins(C):R4]T	Ins(C)	Insertion	A[Ins(C):R4]T
A[Ins(C):R5]A	Ins(C)	Insertion	A[Ins(C):R5]A
A[Ins(C):R5]G	Ins(C)	Insertion	A[Ins(C):R5]G
A[Ins(C):R5]T	Ins(C)	Insertion	A[Ins(C):R5]T
A[Ins(C):R6]A	Ins(C)	Insertion	A[Ins(C):R6]A
A[Ins(C):R6]G	Ins(C)	Insertion	A[Ins(C):R6]G
A[Ins(C):R6]T	Ins(C)	Insertion	A[Ins(C):R6]T
A[Ins(C):R7]A	Ins(C)	Insertion	A[Ins(C):R7]A
A[Ins(C):R7]G	Ins(C)	Insertion	A[Ins(C):R7]G
A[Ins(C):R7]T	Ins(C)	Insertion	A[Ins(C):R7]T
A[Ins(C):R8]A	Ins(C)	Insertion	A[Ins(C):R8]A
A[Ins(C):R8]G	Ins(C)	Insertion	A[Ins(C):R8]G
A[Ins(C):R8]T	Ins(C)	Insertion	A[Ins(C):R8]T
A[Ins(C):R9]A	Ins(C)	Insertion	A[Ins(C):R9]A
A[Ins(C):R9]G	Ins(C)	Insertion	A[Ins(C):R9]G
A[Ins(C):R9]T	Ins(C)	Insertion	A[Ins(C):R9]T
G[Ins(C):R0]A	Ins(C)	Insertion	G[Ins(C):R0]A
G[Ins(C):R0]G	Ins(C)	Insertion	G[Ins(C):R0]G
G[Ins(C):R0]T	Ins(C)	Insertion	G[Ins(C):R0]T
G[Ins(C):R1]A	Ins(C)	Insertion	G[Ins(C):R1]A
G[Ins(C):R1]G	Ins(C)	Insertion	G[Ins(C):R1]G
G[Ins(C):R1]T	Ins(C)	Insertion	G[Ins(C):R1]T
G[Ins(C):R2]A	Ins(C)	Insertion	G[Ins(C):R2]A
G[Ins(C):R2]G	Ins(C)	Insertion	G[Ins(C):R2]G
G[Ins(C):R2]T	Ins(C)	Insertion	G[Ins(C):R2]T
G[Ins(C):R3]A	Ins(C)	Insertion	G[Ins(C):R3]A
G[Ins(C):R3]G	Ins(C)	Insertion	G[Ins(C):R3]G
G[Ins(C):R3]T	Ins(C)	Insertion	G[Ins(C):R3]T
G[Ins(C):R4]A	Ins(C)	Insertion	G[Ins(C):R4]A
G[Ins(C):R4]G	Ins(C)	Insertion	G[Ins(C):R4]G
G[Ins(C):R4]T	Ins(C)	Insertion	G[Ins(C):R4]T
G[Ins(C):R5]A	Ins(C)	Insertion	G[Ins(C):R5]A
G[Ins(C):R5]G	Ins(C)	Insertion	G[Ins(C):R5]G
G[Ins(C):R5]T	Ins(C)	Insertion	G[Ins(C):R5]T
