IndelType	Indel	Indel3	Figlabel
A[Ins(C):R0]A	Ins(C)	Insertion	A[C0]A
A[Ins(C):R0]T	Ins(C)	Insertion	A[C0]T
"Ins(C):R(0,3)"	Ins(C)	Insertion	"C(0,3)"
"Ins(C):R(4,6)"	Ins(C)	Insertion	"C(4,6)"
"Ins(C):R(7,9)"	Ins(C)	Insertion	"C(7,9)"
"A[Ins(T):R(0,4)]A"	Ins(T)	Insertion	"A[T(0,4)]A"
"A[Ins(T):R(0,4)]C"	Ins(T)	Insertion	"A[T(0,4)]C"
"A[Ins(T):R(0,4)]G"	Ins(T)	Insertion	"A[T(0,4)]G"
"C[Ins(T):R(0,4)]A"	Ins(T)	Insertion	"C[T(0,4)]A"
"C[Ins(T):R(0,4)]C"	Ins(T)	Insertion	"C[T(0,4)]C"
"C[Ins(T):R(0,4)]G"	Ins(T)	Insertion	"C[T(0,4)]G"
"G[Ins(T):R(0,4)]A"	Ins(T)	Insertion	"G[T(0,4)]A"
"G[Ins(T):R(0,4)]C"	Ins(T)	Insertion	"G[T(0,4)]C"
"G[Ins(T):R(0,4)]G"	Ins(T)	Insertion	"G[T(0,4)]G"
"A[Ins(T):R(5,7)]A"	Ins(T)	Insertion	"A[T(5,7)]A"
"A[Ins(T):R(5,7)]C"	Ins(T)	Insertion	"A[T(5,7)]C"
"A[Ins(T):R(5,7)]G"	Ins(T)	Insertion	"A[T(5,7)[G"
"C[Ins(T):R(5,7)]A"	Ins(T)	Insertion	"C[T(5,7)[A"
"C[Ins(T):R(5,7)]C"	Ins(T)	Insertion	"C[T(5,7)[C"
"C[Ins(T):R(5,7)]G"	Ins(T)	Insertion	"C[T(5,7)[G"
"G[Ins(T):R(5,7)]A"	Ins(T)	Insertion	"G[T(5,7)[A"
"G[Ins(T):R(5,7)]C"	Ins(T)	Insertion	"G[T(5,7)[C"
"G[Ins(T):R(5,7)]G"	Ins(T)	Insertion	"G[T(5,7)]G"
"A[Ins(T):R(8,9)]A"	Ins(T)	Insertion	"A[T(8,9)]A"
"A[Ins(T):R(8,9)]C"	Ins(T)	Insertion	"A[T(8,9)]C"
"A[Ins(T):R(8,9)]G"	Ins(T)	Insertion	"A[T(8,9)]G"
"C[Ins(T):R(8,9)]A"	Ins(T)	Insertion	"C[T(8,9)]A"
"C[Ins(T):R(8,9)]C"	Ins(T)	Insertion	"C[T(8,9)]C"
